outcome,bin,coef,se,p,pct
total,"C(tmax_bin, Treatment(reference='20_25'))[T.15_20]",-0.004990031139682161,0.0048638478541191054,0.30491840588677455,-0.49776016174566395
total,"C(tmax_bin, Treatment(reference='20_25'))[T.25_30]",0.01954589122510389,0.004595528928185907,2.1069877387588656e-05,1.9738162820465144
total,"C(tmax_bin, Treatment(reference='20_25'))[T.30_35]",0.025603307813009513,0.009314865765786235,0.005984120743428179,2.593388778223038
total,"C(tmax_bin, Treatment(reference='20_25'))[T.ge35]",0.03646502021044579,0.01392584930401162,0.008831387497462262,3.7138024513392542
total,"C(tmax_bin, Treatment(reference='20_25'))[T.lt15]",-0.040121928640290516,0.01513065180799147,0.008008799109591583,-3.9327701456055464
violent,"C(tmax_bin, Treatment(reference='20_25'))[T.15_20]",-0.03045859973515863,0.004801136552771583,2.238174621909392e-10,-2.999941048275745
violent,"C(tmax_bin, Treatment(reference='20_25'))[T.25_30]",0.03919426233943106,0.004539151959391386,5.887603531133467e-18,3.9972491517408226
violent,"C(tmax_bin, Treatment(reference='20_25'))[T.30_35]",0.07060804954972782,0.008293060451602396,1.678710028506094e-17,7.316051767724296
violent,"C(tmax_bin, Treatment(reference='20_25'))[T.ge35]",0.09240266657540325,0.012906063723890202,8.089393124623254e-13,9.680638044354751
violent,"C(tmax_bin, Treatment(reference='20_25'))[T.lt15]",-0.08965210769646223,0.013956405379900061,1.329795005733563e-10,-8.575080979092498
violent_ucr,"C(tmax_bin, Treatment(reference='20_25'))[T.15_20]",-0.042858521433034286,0.007093055015130082,1.519120275052142e-09,-4.195307641490464
violent_ucr,"C(tmax_bin, Treatment(reference='20_25'))[T.25_30]",0.0409457597506364,0.006744885678512352,1.2740302988339753e-09,4.179559676001388
violent_ucr,"C(tmax_bin, Treatment(reference='20_25'))[T.30_35]",0.06108903852448773,0.013411049465769558,5.23538449993708e-06,6.299355735157541
violent_ucr,"C(tmax_bin, Treatment(reference='20_25'))[T.ge35]",0.05600275544605465,0.024874017614211,0.024356672626823745,5.76005978939913
violent_ucr,"C(tmax_bin, Treatment(reference='20_25'))[T.lt15]",-0.09978393881669839,0.0178597824603838,2.3092640389867102e-08,-9.496706059927595
property,"C(tmax_bin, Treatment(reference='20_25'))[T.15_20]",-0.0023393079683548534,0.0037805334087685637,0.5360631283892879,-0.23365739198121238
property,"C(tmax_bin, Treatment(reference='20_25'))[T.25_30]",0.008452336458762977,0.003581278491336091,0.018267794125025737,0.8488158309552407
property,"C(tmax_bin, Treatment(reference='20_25'))[T.30_35]",-0.0021795638382190105,0.007460036856341775,0.7701602482432158,-0.2177190313685795
property,"C(tmax_bin, Treatment(reference='20_25'))[T.ge35]",-0.0045575842916132925,0.013952432542001098,0.7439314179138431,-0.45472142643983027
property,"C(tmax_bin, Treatment(reference='20_25'))[T.lt15]",-0.022655848677070822,0.010559940946717052,0.0319167082555576,-2.2401132169894367
